Name of the Political Party,Denominations
AAM AADMI PARTY,654500000
ADYAKSHA SAMAJVADI PARTY,140500000
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,60500000
ALL INDIA TRINAMOOL CONGRESS,16095314000
BHARAT RASHTRA SAMITHI,12147099000
BHARATIYA JANATA PARTY,60605111000
BIHAR PRADESH JANTA DAL(UNITED),140000000
BIJU JANATA DAL,7755000000
DRAVIDA MUNNETRA KAZHAGAM (DMK),6390000000
GOA FORWARD PARTY,3500000
JAMMU AND KASHMIR NATIONAL CONFERENCE,5000000
JANASENA PARTY,210000000
JANATA DAL ( SECULAR ),435000000
JHARKHAND MUKTI MORCHA,135000000
MAHARASHTRAWADI GOMNTAK PARTY,5500000
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,310000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14218655000
RASHTRIYA JANTA DAL,735000000
SHIROMANI AKALI DAL,72600000
SHIVSENA,1593814000
SIKKIM DEMOCRATIC FRONT,55000000
SIKKIM KRANTIKARI MORCHA,365000000
TELUGU DESAM PARTY,2188800000
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),3370000000
